source_id,source_name,sector,subsector,lat,lon,gas,emissions_co2e_tonnes,year
1753274,Tesoro Carson Refinery,fossil-fuel-operations,oil-and-gas-refining,33.818578,-118.236677,co2,4437145.164237225,2022
1753282,Chevron El Segundo Refinery,fossil-fuel-operations,oil-and-gas-refining,33.911422,-118.410994,co2,3288132.3669939777,2022
53058945,Midway-Sunset CA,fossil-fuel-operations,oil-and-gas-production,35.14,-119.48,co2,2713202.592146288,2022
1753290,Chevron Richmmond Refinery,fossil-fuel-operations,oil-and-gas-refining,37.94978,-122.398665,co2,2565905.5504699424,2022
25449206,AES Alamitos LLC,power,electricity-generation,33.768,-118.1005,co2,2326100.0,2022
1753308,PBF Torrance Refinery,fossil-fuel-operations,oil-and-gas-refining,33.853208,-118.332317,co2,1955766.4632863812,2022
1753309,PBF Martinex Refinery,fossil-fuel-operations,oil-and-gas-refining,38.019952,-122.111017,co2,1911761.7179749373,2022
25449367,Chuck Lenzie Generating Station,power,electricity-generation,36.3837,-114.9218,co2,1796120.0,2022
1753313,Valero Benecia Refinery,fossil-fuel-operations,oil-and-gas-refining,38.072007,-122.138319,co2,1772413.3578220326,2022
1753315,Phillips 66 Wilmington Refinery,fossil-fuel-operations,oil-and-gas-refining,33.810856,-118.243473,co2,1699072.1156362933,2022
25449138,Dynegy Moss Landing Power Plant Hybrid,power,electricity-generation,36.8048,-121.7822,co2,1674840.0,2022
25449088,Clark (NVE),power,electricity-generation,36.0875,-115.0507,co2,1600900.0,2022
1753320,Phillips 66 Rodeo Refinery,fossil-fuel-operations,oil-and-gas-refining,38.043474,-122.255632,co2,1446234.415101143,2022
53059113,South Belridge CA,fossil-fuel-operations,oil-and-gas-production,35.45643888,-119.7239011,co2,1364619.2996247378,2022
53058697,Cymric CA,fossil-fuel-operations,oil-and-gas-production,35.3758979,-119.6979518,co2,1359089.8213399176,2022
53058892,Kern River CA,fossil-fuel-operations,oil-and-gas-production,35.45344552,-118.9862857,co2,1345290.4302080718,2022
25449305,Delta Energy Center,power,electricity-generation,38.0173,-121.8452,co2,1324770.0,2022
25449196,Tracy,power,electricity-generation,39.5625,-119.525,co2,1293680.0,2022
25456578,Los Medanos Energy Center,power,electricity-generation,38.0301,-121.873,co2,1285390.0,2022
25449209,Mountainview Generating Station,power,electricity-generation,34.0818,-117.2418,co2,1246200.0,2022
25449208,AES Redondo Beach LLC,power,electricity-generation,33.8504,-118.395,co2,1241780.0,2022
25456648,Elk Hills Power LLC,power,electricity-generation,35.2803,-119.4707,co2,1219480.0,2022
25449195,North Valmy,power,electricity-generation,40.8813,-117.1516,co2,1203790.0,2022
25449294,High Desert Power Plant,power,electricity-generation,34.5953,-117.3647,co2,1180160.0,2022
25449050,Haynes,power,electricity-generation,33.7646,-118.0952,co2,1109350.0,2022
25449089,Harry Allen,power,electricity-generation,36.4306,-114.9024,co2,1046770.0,2022
1753334,Valero Wilmington Refinery,fossil-fuel-operations,oil-and-gas-refining,33.779055,-118.233663,co2,1041001.1100242496,2022
25449459,AES Huntington Beach LLC,power,electricity-generation,33.6448,-117.9793,co2,990160.0,2022
25456540,Griffith Energy LLC,power,electricity-generation,35.054,-114.1333,co2,980790.0,2022
53059078,San Ardo CA,fossil-fuel-operations,oil-and-gas-production,35.95457502,-120.8590061,co2,959634.8582550803,2022
53058672,Coalinga CA,fossil-fuel-operations,oil-and-gas-production,36.21744066,-120.3585835,co2,930436.2580551192,2022
25456560,Sunrise Power LLC,power,electricity-generation,35.2097,-119.585,co2,929938.0,2022
25456537,Sutter Energy Center,power,electricity-generation,39.0531,-121.6959,co2,926620.0,2022
