STATION,DATE,TMAX,city
USW00023174,1980-12-29,272,Los Angeles (LAX)
USW00023174,1980-12-30,322,Los Angeles (LAX)
USW00023174,1980-12-31,256,Los Angeles (LAX)
USW00023174,1981-01-01,222,Los Angeles (LAX)
USW00023174,1981-01-02,172,Los Angeles (LAX)
USW00023174,1981-01-03,178,Los Angeles (LAX)
USW00023174,1981-01-04,189,Los Angeles (LAX)
USW00023174,1981-01-05,272,Los Angeles (LAX)
USW00023174,1981-01-06,239,Los Angeles (LAX)
USW00023174,1981-01-07,189,Los Angeles (LAX)
USW00023174,1981-01-08,178,Los Angeles (LAX)
USW00023174,1981-01-09,250,Los Angeles (LAX)
USW00023174,1981-01-10,256,Los Angeles (LAX)
USW00023174,1981-01-11,222,Los Angeles (LAX)
USW00023174,1981-01-12,206,Los Angeles (LAX)
USW00023174,1981-01-13,217,Los Angeles (LAX)
USW00023174,1981-01-14,211,Los Angeles (LAX)
USW00023174,1981-01-15,200,Los Angeles (LAX)
USW00023174,1981-01-16,183,Los Angeles (LAX)
USW00023174,1981-01-17,194,Los Angeles (LAX)
USW00023174,1981-01-18,239,Los Angeles (LAX)
USW00023174,1981-01-19,183,Los Angeles (LAX)
USW00023174,1981-01-20,183,Los Angeles (LAX)
USW00023174,1981-01-21,189,Los Angeles (LAX)
USW00023174,1981-01-22,189,Los Angeles (LAX)
USW00023174,1981-01-23,178,Los Angeles (LAX)
USW00023174,1981-01-24,172,Los Angeles (LAX)
USW00023174,1981-01-25,194,Los Angeles (LAX)
USW00023174,1981-01-26,183,Los Angeles (LAX)
USW00023174,1981-01-27,167,Los Angeles (LAX)
USW00023174,1981-01-28,172,Los Angeles (LAX)
USW00023174,1981-01-29,156,Los Angeles (LAX)
USW00023174,1981-01-30,156,Los Angeles (LAX)
USW00023174,1981-01-31,183,Los Angeles (LAX)
USW00023174,1981-02-01,183,Los Angeles (LAX)
USW00023174,1981-02-02,222,Los Angeles (LAX)
USW00023174,1981-02-03,211,Los Angeles (LAX)
USW00023174,1981-02-04,183,Los Angeles (LAX)
USW00023174,1981-02-05,178,Los Angeles (LAX)
USW00023174,1981-02-06,167,Los Angeles (LAX)
USW00023174,1981-02-07,178,Los Angeles (LAX)
USW00023174,1981-02-08,156,Los Angeles (LAX)
USW00023174,1981-02-09,156,Los Angeles (LAX)
USW00023174,1981-02-10,183,Los Angeles (LAX)
USW00023174,1981-02-11,156,Los Angeles (LAX)
USW00023174,1981-02-12,194,Los Angeles (LAX)
USW00023174,1981-02-13,267,Los Angeles (LAX)
USW00023174,1981-02-14,250,Los Angeles (LAX)
USW00023174,1981-02-15,233,Los Angeles (LAX)
USW00023174,1981-02-16,283,Los Angeles (LAX)
USW00023174,1981-02-17,272,Los Angeles (LAX)
USW00023174,1981-02-18,278,Los Angeles (LAX)
USW00023174,1981-02-19,239,Los Angeles (LAX)
USW00023174,1981-02-20,239,Los Angeles (LAX)
USW00023174,1981-02-21,294,Los Angeles (LAX)
USW00023174,1981-02-22,267,Los Angeles (LAX)
USW00023174,1981-02-23,206,Los Angeles (LAX)
USW00023174,1981-02-24,172,Los Angeles (LAX)
USW00023174,1981-02-25,161,Los Angeles (LAX)
USW00023174,1981-02-26,172,Los Angeles (LAX)
USW00023174,1981-02-27,189,Los Angeles (LAX)
USW00023174,1981-02-28,150,Los Angeles (LAX)
USW00023174,1981-03-01,167,Los Angeles (LAX)
USW00023174,1981-03-02,161,Los Angeles (LAX)
USW00023174,1981-03-03,178,Los Angeles (LAX)
USW00023174,1981-03-04,167,Los Angeles (LAX)
USW00023174,1981-03-05,133,Los Angeles (LAX)
USW00023174,1981-03-06,156,Los Angeles (LAX)
USW00023174,1981-03-07,172,Los Angeles (LAX)
USW00023174,1981-03-08,200,Los Angeles (LAX)
USW00023174,1981-03-09,222,Los Angeles (LAX)
USW00023174,1981-03-10,233,Los Angeles (LAX)
USW00023174,1981-03-11,200,Los Angeles (LAX)
USW00023174,1981-03-12,178,Los Angeles (LAX)
USW00023174,1981-03-13,161,Los Angeles (LAX)
USW00023174,1981-03-14,183,Los Angeles (LAX)
USW00023174,1981-03-15,183,Los Angeles (LAX)
USW00023174,1981-03-16,206,Los Angeles (LAX)
USW00023174,1981-03-17,194,Los Angeles (LAX)
USW00023174,1981-03-18,183,Los Angeles (LAX)
USW00023174,1981-03-19,161,Los Angeles (LAX)
USW00023174,1981-03-20,161,Los Angeles (LAX)
USW00023174,1981-03-21,172,Los Angeles (LAX)
USW00023174,1981-03-22,183,Los Angeles (LAX)
